39,Onyeka Okongwu,ATL,22,49,25,24,24.6,110.8,112.9,-2.1,5.6,0.98,11.1,10.8,19.0,14.9,11.4,63.5,66.0,13.7,101.25,10.1,2542
39,Patrick Williams,CHI,21,49,23,26,29.3,110.0,113.0,-3.0,6.1,1.00,11.5,3.5,11.3,7.5,11.5,55.4,58.3,15.1,101.11,6.8,3022
39,Sam Hauser,BOS,25,49,34,15,14.6,112.9,108.5,4.4,6.7,2.27,12.4,2.8,12.5,7.8,5.5,59.8,60.3,14.0,102.07,7.8,1517
39,Scottie Barnes,TOR,21,49,21,28,34.8,115.2,113.0,2.2,20.4,2.42,22.9,6.2,15.0,10.3,9.4,49.7,53.5,20.0,98.91,11.1,3515
39,Shaedon Sharpe,POR,19,49,23,26,19.8,111.0,113.4,-2.4,3.8,0.71,6.2,3.8,8.8,6.3,8.7,53.9,54.9,16.4,100.15,5.7,2024
39,T.J. McConnell,IND,30,49,22,27,19.7,108.1,111.8,-3.7,39.8,2.92,38.3,3.1,11.1,7.0,13.1,54.6,57.3,16.8,104.36,13.1,2103
39,Torrey Craig,PHX,32,49,26,23,25.6,110.3,116.7,-6.4,8.2,1.70,16.1,7.5,14.5,10.9,9.4,55.4,56.8,13.2,99.43,7.6,2585
39,Walker Kessler,UTA,21,49,24,25,20.2,114.5,109.5,4.9,5.5,1.03,11.0,13.4,20.8,17.2,10.8,71.5,69.9,12.7,101.63,12.4,2081
54,Anfernee Simons,POR,23,48,23,25,35.9,113.7,114.2,-0.6,17.9,1.81,16.5,0.8,7.0,3.9,9.1,55.4,58.6,24.6,99.13,9.8,3558
54,Caris LeVert,CLE,28,48,28,20,30.9,111.6,108.3,3.3,17.9,2.32,21.9,2.4,10.4,6.4,9.4,48.8,51.8,19.2,97.90,8.1,3025
54,Daniel Gafford,WAS,24,48,22,26,17.7,110.4,107.0,3.4,6.4,0.84,10.7,11.0,15.7,13.4,12.8,74.2,73.6,15.0,101.10,12.4,1784
54,Davion Mitchell,SAC,24,48,27,21,18.2,113.7,108.5,5.2,16.3,2.43,25.6,1.2,6.9,4.1,10.6,53.8,54.9,14.7,101.64,6.3,1824
54,Deni Avdija,WAS,22,48,23,25,26.2,112.0,112.6,-0.6,13.2,1.74,20.8,4.2,18.5,11.6,12.0,49.7,53.7,15.5,100.32,8.3,2623
54,Drew Eubanks,POR,25,48,22,26,18.8,115.6,115.1,0.5,7.4,1.30,17.8,7.9,16.5,12.3,13.8,72.5,72.9,10.4,99.05,9.6,1861
54,Jaden Ivey,DET,20,48,13,35,30.0,108.5,120.7,-12.2,23.4,1.55,20.4,3.2,10.6,6.8,13.2,46.8,52.0,24.1,101.61,7.7,3049
54,Jalen Brunson,NYK,26,48,26,22,34.4,117.1,116.8,0.2,28.7,2.98,22.4,1.7,8.1,4.9,7.5,52.0,57.3,26.2,97.95,13.1,3388
54,Jalen Green,HOU,20,48,11,37,34.6,109.4,118.8,-9.4,17.0,1.25,13.7,1.6,10.1,5.8,11.0,48.2,53.3,27.4,100.61,9.5,3484
54,Jayson Tatum,BOS,24,48,34,14,37.5,118.9,110.0,8.9,19.4,1.54,13.6,3.0,19.4,11.5,8.8,54.0,60.7,32.3,100.64,16.8,3764
54,Jerami Grant,POR,28,48,22,26,35.8,117.0,116.1,0.9,10.2,1.33,11.1,2.8,9.5,6.2,8.4,56.8,61.4,23.1,98.91,10.4,3544
54,Kentavious Caldwell-Pope,DEN,29,48,33,15,31.5,122.5,110.4,12.1,8.6,1.98,18.0,1.6,8.1,5.0,9.1,58.7,61.2,13.9,100.83,6.7,3177
54,Killian Hayes,DET,21,48,12,36,26.6,107.7,117.6,-9.9,32.4,2.92,31.3,1.3,9.5,5.2,10.7,44.4,46.2,19.8,100.72,7.6,2680
54,Malik Monk,SAC,24,48,28,20,22.3,110.4,112.5,-2.1,26.5,2.03,22.4,2.2,9.1,5.6,11.0,51.5,56.2,25.0,104.08,11.1,2328
54,Russell Westbrook,LAL,34,48,23,25,28.6,113.3,114.3,-1.0,37.4,2.11,27.8,3.8,16.9,10.5,13.2,45.8,49.5,27.6,105.29,11.7,3005
54,Saddiq Bey,DET,23,48,11,37,28.8,111.0,118.5,-7.5,8.1,1.45,9.7,3.5,12.2,7.7,6.7,48.5,54.8,20.4,102.51,9.1,2952
54,Tim Hardaway Jr.,DAL,30,48,27,21,29.9,117.3,113.9,3.4,7.8,1.79,10.2,1.3,10.4,5.9,5.7,49.6,52.5,20.5,96.86,7.4,2898
54,Trey Murphy III,NOP,22,48,23,25,29.1,111.0,114.1,-3.1,6.2,1.66,11.2,2.8,10.0,6.4,6.7,59.8,63.5,14.9,101.60,8.8,2958
72,AJ Griffin,ATL,19,47,21,26,20.9,110.5,112.2,-1.7,6.8,1.60,10.5,2.2,7.8,5.0,6.6,59.2,60.5,17.2,102.65,8.4,2105
72,Ayo Dosunmu,CHI,23,47,23,24,27.5,108.5,111.8,-3.3,13.2,1.94,21.9,2.5,8.6,5.6,11.3,55.8,57.8,14.8,102.05,6.4,2742
72,Bobby Portis,MIL,27,47,30,17,26.8,110.6,110.4,0.1,10.5,1.44,11.5,8.9,25.8,17.4,8.0,55.1,57.1,21.1,101.65,14.6,2674
72,Domantas Sabonis,SAC,26,47,27,20,34.5,120.2,113.7,6.6,29.2,2.41,29.8,9.0,28.0,18.7,12.4,62.9,66.9,20.8,100.76,16.3,3403
72,Dwight Powell,DAL,31,47,26,21,19.1,118.6,112.7,5.8,5.3,0.83,11.7,10.6,11.0,10.8,14.2,71.0,73.2,12.1,96.81,7.4,1810
72,Georges Niang,PHI,29,47,31,16,19.8,112.6,106.6,6.0,8.4,1.50,12.6,1.5,10.6,6.2,8.4,61.9,63.4,17.1,101.44,8.4,1971
72,Jabari Smith Jr.,HOU,19,47,11,36,29.6,106.8,117.5,-10.6,5.2,0.77,7.3,3.8,18.8,11.2,9.5,46.2,49.8,18.6,100.21,7.3,2902
72,Jalen Johnson,ATL,21,47,23,24,14.5,108.5,113.0,-4.5,8.7,2.00,15.5,4.3,19.9,12.0,7.7,52.6,55.5,14.6,102.49,9.2,1446
72,Jalen Smith,IND,22,47,23,24,19.1,109.5,116.3,-6.8,7.9,0.86,9.4,8.6,20.1,14.2,11.0,51.9,55.6,20.8,103.71,9.6,1947
72,Josh Hart,POR,27,47,23,24,33.5,117.3,114.3,3.1,16.1,2.55,30.1,5.9,18.9,12.5,11.8,55.2,58.8,12.2,98.85,9.5,3246
72,Keegan Murray,SAC,22,47,27,20,29.7,117.0,114.0,3.1,4.2,1.07,7.9,4.0,11.1,7.6,7.4,58.2,59.9,15.8,101.94,7.2,2977
72,Lauri Markkanen,UTA,25,47,24,23,34.2,118.4,112.6,5.8,8.1,0.99,8.0,5.0,19.4,12.2,8.1,61.7,66.7,24.5,100.55,16.0,3365
72,Luguentz Dort,OKC,23,47,23,24,30.3,114.1,113.1,1.0,9.9,1.60,13.4,4.4,8.8,6.6,8.4,48.7,52.9,19.8,103.46,6.6,3067
72,Nic Claxton,BKN,23,47,28,19,29.4,116.4,110.6,5.7,7.6,1.25,13.1,9.6,20.2,15.4,10.5,74.1,70.9,16.1,98.42,13.5,2818
72,P.J. Tucker,PHI,37,47,30,17,26.5,115.9,112.7,3.3,4.1,1.21,18.7,5.3,11.0,8.2,15.4,50.8,53.6,6.2,97.80,2.8,2529
72,Reggie Jackson,LAC,32,47,25,22,26.1,110.0,111.5,-1.5,20.6,1.85,22.2,1.6,6.8,4.3,12.0,50.0,53.2,20.8,98.25,7.6,2510
72,Royce O'Neale,BKN,29,47,28,19,34.6,114.1,110.9,3.2,14.8,2.34,27.7,2.4,11.1,7.2,11.9,53.6,54.7,13.4,98.26,6.4,3325
72,Santi Aldama,MEM,22,47,29,18,21.8,112.4,109.9,2.5,7.3,1.84,12.9,4.5,15.5,9.9,7.0,57.6,60.2,15.0,103.81,9.4,2214
90,Aaron Holiday,ATL,26,46,24,22,15.2,110.5,109.6,1.0,11.5,2.42,22.7,2.5,5.9,4.1,9.4,50.8,53.9,12.4,103.73,5.2,1513
90,Bam Adebayo,MIA,25,46,25,21,35.0,113.0,109.3,3.6,15.0,1.18,13.0,8.1,21.5,14.7,11.1,54.0,58.6,26.1,97.46,14.7,3280
90,Bol Bol,ORL,23,46,17,29,24.4,108.6,114.9,-6.3,5.6,0.48,7.8,5.2,21.7,13.6,16.4,61.3,63.5,18.2,100.42,11.9,2354
90,Chris Boucher,TOR,30,46,21,25,20.4,109.9,112.7,-2.8,3.5,1.00,5.0,9.7,19.0,13.9,5.0,52.6,57.2,17.7,97.87,11.1,1924
90,De'Aaron Fox,SAC,25,46,27,19,33.6,118.0,116.0,1.9,27.4,2.36,21.0,1.2,11.7,6.5,8.9,54.8,59.0,27.9,103.69,13.1,3349
90,De'Anthony Melton,PHI,24,46,30,16,29.1,114.5,112.6,2.0,14.0,1.90,19.9,3.6,12.4,8.1,10.5,54.6,56.1,17.1,98.87,8.5,2750
90,DeMar DeRozan,CHI,33,46,22,24,36.2,113.0,111.6,1.5,21.7,2.48,17.4,1.4,12.3,7.0,7.0,52.6,60.3,28.2,101.15,14.6,3510
90,Dejounte Murray,ATL,26,46,23,23,36.7,112.4,113.4,-1.1,24.5,2.64,21.9,1.9,12.8,7.3,8.3,51.8,54.4,24.6,101.38,12.7,3566
90,Dillon Brooks,MEM,27,46,29,17,30.6,114.8,107.3,7.6,12.0,1.68,13.3,1.9,8.6,5.2,7.9,45.8,48.6,22.9,101.61,6.2,2975
90,Grayson Allen,MIL,27,46,31,15,27.3,111.2,108.1,3.1,13.0,2.39,21.7,3.1,9.0,6.1,9.1,56.5,61.4,14.5,102.26,8.8,2686
90,Jalen Williams,OKC,21,46,22,24,28.7,109.1,112.0,-2.9,13.4,1.80,18.9,2.5,10.5,6.5,10.5,55.7,58.0,17.0,103.94,8.6,2859
