54,"Green, Jalen",HOU,48,11,37,47.6,42.3,87.9,48.2,14.7,38.9,37.8,19.2,24.6,77.9,10.7,30.5,41.2,26.4,12.7,8.8,5.8,4.5,20.3,20.3,118.5,9.1
54,"Hardaway Jr., Tim",DAL,48,27,21,49.5,41.1,87.2,47.1,11.9,34.3,34.7,19.7,25.4,77.6,9.9,34.7,44.7,24.8,13.0,6.1,3.5,3.8,23.6,20.6,113.8,-3.4
54,"Hayes, Killian",DET,48,12,36,47.7,42.4,85.5,49.6,12.0,33.4,35.9,21.0,26.0,80.5,10.7,33.9,44.7,25.4,14.1,7.6,4.7,3.5,19.0,22.1,117.7,10.0
54,"Ivey, Jaden",DET,48,13,35,47.3,44.4,88.0,50.4,12.5,33.2,37.5,19.6,24.6,79.8,10.9,33.3,44.1,26.1,12.9,7.4,5.9,3.4,21.6,21.6,120.9,12.3
54,"LeVert, Caris",CLE,48,28,20,49.0,39.8,85.2,46.7,11.3,31.5,35.8,17.5,22.9,76.2,9.4,32.2,41.6,22.9,14.8,7.2,4.2,4.6,22.2,19.1,108.4,-3.2
54,"Mitchell, Davion",SAC,48,27,21,48.0,40.7,85.5,47.6,10.0,30.3,32.9,20.4,25.9,78.9,9.4,32.6,42.0,23.5,15.2,6.6,4.3,3.2,21.8,21.4,111.9,-1.8
54,"Monk, Malik",SAC,48,28,20,45.9,40.7,85.1,47.9,10.8,31.1,34.6,19.2,24.2,79.1,10.7,31.6,42.3,23.8,14.3,7.7,4.4,3.6,21.1,20.9,111.4,1.0
54,"Murphy III, Trey",NOP,48,23,25,47.2,41.8,86.4,48.4,12.1,34.6,35.1,18.3,23.1,79.3,9.8,31.3,41.1,24.4,13.9,8.0,4.4,4.1,19.0,20.1,114.0,3.0
54,"Simons, Anfernee",POR,48,23,25,48.4,41.9,87.5,47.9,11.7,32.2,36.3,18.7,24.1,77.3,10.5,31.9,42.4,25.7,13.3,7.5,4.6,4.2,20.2,20.4,114.1,0.4
54,"Tatum, Jayson",BOS,48,34,14,47.8,41.5,89.3,46.4,11.8,33.6,35.1,15.6,20.1,77.8,9.6,33.3,43.0,22.4,12.7,5.9,3.5,5.5,20.2,18.8,110.4,-8.5
